"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"1","Aaron Rodgers",4062,2658,32460,7.99113737075332,268,58,298,1862,3321,11,74,223,4.71,34.5,110,7.38,4.3052688172043,2005,1,1
"2","Alex Smith",3308,2101,23167,7.00332527206771,138,60,272,1488,2568,11,76,217,4.71,32,113,6.82,3.96,2005,7,1
"3","Andrew Luck",2651,1570,19078,7.19652961146737,132,68,156,990,1767,4,76,234,4.59,36,124,6.8,4.28,2012,44,1
"4","Andy Dalton",3060,1920,22214,7.25947712418301,142,81,181,1077,2209,5,74,215,4.83,29.5,106,6.93,4.27,2011,37,2
"5","Austin Davis",378,236,2548,6.74074074074074,13,12,40,275,205,3,74,219,4.69,31,109,6.73,4.11,2012,6,8
"7","Blaine Gabbert",1226,686,7351,5.99592169657423,38,37,110,730,679,5,76,234,4.61,33.5,120,6.84,4.26,2011,8,1
"8","Blake Bortles",1706,1003,11241,6.58909730363423,69,51,140,862,916,2,77,232,4.93,32.5,115,7.08,4.21,2014,29,1
"10","Brandon Weeden",965,559,6462,6.69637305699482,31,30,66,452,669,3,75,221,4.89,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2012,12,1
"11","Brett Hundley",10,2,17,1.7,0,1,0,0,125,1,75,226,4.63,36,120,6.93,3.98,2015,5,5
"12","Brian Brohm",52,27,252,4.84615384615385,0,5,5,13,10,2,75,230,4.81,30,115,7.13,4.55,2008,0,2
"13","Brian Hoyer",1199,714,8608,7.17931609674729,44,26,65,459,930,7,74,215,5.02,32,109,7.1,4.42,2009,1,8
"15","Brodie Croyle",59,31,268,4.54237288135593,2,1,7,47,85,4,74,205,4.88,30.5,104,7.34,4.25,2006,1,3
"16","Bruce Gradkowski",336,178,2240,6.66666666666667,12,11,22,155,272,6,73,217,4.59,34,107,7.12,4.16,2006,3,6
"17","Bryce Petty",133,75,809,6.08270676691729,3,7,13,79,78,1,75,230,4.87,34,121,6.91,4.13,2015,4,4
"19","Cam Newton",2895,1692,21578,7.45354058721934,135,77,218,1683,2264,5,77,248,4.56,35,126,6.92,4.18,2011,51,1
"21","Carson Palmer",3875,2397,28639,7.39070967741935,178,113,210,1512,2503,13,77,232,4.65,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2003,40,1
"22","Carson Wentz",607,379,3782,6.23064250411862,16,14,33,213,367,0,77,237,4.77,30.5,118,6.86,4.15,2016,24,1
"24","Chad Henne",1942,1152,12864,6.62409886714727,58,63,149,938,1128,6,75,230,4.92,25.5,106,7.17,4.4,2008,15,2
"25","Chad Pennington",76,52,432,5.68421052631579,1,2,6,32,72,10,75,229,4.81,33.5,111,7.12,4.16,2000,12,1
"26","Charlie Frye",87,53,581,6.67816091954023,1,4,5,40,42,4,76,225,4.79,33,113,6.94,4.08,2005,7,3
"27","Charlie Whitehurst",396,219,2463,6.21969696969697,11,8,38,204,322,10,77,223,4.75,33,112,7,4.11,2006,3,3
"29","Chris Redman",153,91,989,6.4640522875817,4,4,8,34,206,11,75,222,5.37,26.5,98,7.8,4.78,2000,3,3
"30","Chris Simms",17,5,23,1.35294117647059,0,1,5,39,20,6,76,220,4.84,31,103,7.38,4.21,2003,8,3
"31","Christian Ponder",1057,632,6658,6.29895931882687,38,36,95,501,856,3,74,229,4.63,34,116,6.85,4.09,2011,22,1
"32","Cody Kessler",195,128,1380,7.07692307692308,6,2,21,140,146,0,73,220,4.89,29.5,104,7.32,4,2016,3,3
"33","Colin Kaepernick",1692,1011,12271,7.25236406619385,72,30,171,1060,1400,5,77,233,4.53,32.5,115,6.85,4.18,2011,24,2
"35","Connor Cook",21,14,150,7.14285714285714,1,1,2,7,6,0,76,217,4.79,33,113,7.21,4.28,2016,0,4
"36","Connor Shaw",28,14,177,6.32142857142857,0,1,4,27,10,0,72,206,4.66,34,116,7.07,4.33,2014,0,8
"37","Curtis Painter",287,148,1681,5.85714285714286,6,13,20,126,166,4,75,225,4.87,29,102,7,4.48,2009,2,6
"38","Dak Prescott",459,311,3667,7.98910675381264,23,4,25,143,421,0,74,226,4.79,32.5,116,7.11,4.32,2016,30,4
"39","Dan Orlovsky",240,148,1453,6.05416666666667,7,5,14,84,137,10,77,225,4.93,29.5,107,7.33,4.39,2005,4,5
"40","David Carr",49,28,311,6.3469387755102,1,1,4,22,272,10,75,223,4.67,35,108,7.05,4.28,2002,25,1
"41","David Fales",5,2,22,4.4,0,0,1,5,10,2,74,212,4.99,28,103,7.55,4.5,2014,1,6
"42","David Garrard",882,550,6331,7.17800453514739,38,25,75,489,606,8,74,235,4.82,33.5,111,7.35,4.26,2002,3,4
"44","Derek Anderson",669,359,4201,6.27952167414051,17,25,40,268,536,11,78,242,5.03,29,103,7.67,4.62,2005,19,6
"45","Derek Carr",1732,1055,11194,6.46304849884527,81,31,71,458,1022,2,74,214,4.69,34.5,110,7.11139784946237,4.2,2014,30,2
"46","Drew Brees",5108,3502,39853,7.8020751761942,297,121,219,1517,3562,15,72,213,4.83,32,105,7.09,4.21,2001,17,2
"47","Drew Stanton",483,257,3046,6.3064182194617,13,19,25,151,638,9,75,226,4.75,30.5,108,6.77,4.41,2007,4,2
"49","Geno Smith",866,501,5962,6.88452655889146,28,36,77,528,590,3,74,218,4.58,33.5,124,7.11139784946237,4.3052688172043,2013,15,2
"50","Graham Harrell",4,2,20,5,0,0,0,0,65,3,74,223,4.95,29.5,98,7.45,4.56,2009,0,8
"51","Greg McElroy",31,19,214,6.90322580645161,1,1,11,71,24,1,74,220,4.84,33,107,7.11,4.45,2011,1,7
"52","Jacoby Brissett",55,34,400,7.27272727272727,0,0,6,46,58,0,76,231,4.94,31,113,7.17,4.53,2016,13,3
"53","Jake Locker",709,408,4967,7.00564174894217,27,22,60,378,594,3,74,231,4.51,35,120,6.77,4.12,2011,13,1
"55","Jameis Winston",1102,657,8132,7.37931034482759,50,33,62,429,696,1,76,231,4.97,28.5,103,7.16,4.36,2015,35,1
"56","Jared Goff",205,112,1089,5.31219512195122,5,7,26,222,85,0,76,215,4.82,27,110,7.17,4.47,2016,13,1
