"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"1","Aaron Rodgers",338.5,221.5,2705,7.99113737075332,22.3333333333333,4.83333333333333,24.8333333333333,155.166666666667,276.75,12,74,223,4.71,34.5,110,7.38,4.3052688172043,2005,1,1
"2","Alex Smith",275.666666666667,175.083333333333,1930.58333333333,7.00332527206771,11.5,5,22.6666666666667,124,214,12,76,217,4.71,32,113,6.82,3.96,2005,7,1
"3","Andrew Luck",530.2,314,3815.6,7.19652961146737,26.4,13.6,31.2,198,353.4,5,76,234,4.59,36,124,6.8,4.28,2012,44,1
"4","Andy Dalton",510,320,3702.33333333333,7.25947712418301,23.6666666666667,13.5,30.1666666666667,179.5,368.166666666667,6,74,215,4.83,29.5,106,6.93,4.27,2011,37,2
"5","Austin Davis",94.5,59,637,6.74074074074074,3.25,3,10,68.75,51.25,4,74,219,4.69,31,109,6.73,4.11,2012,6,8
"7","Blaine Gabbert",204.333333333333,114.333333333333,1225.16666666667,5.99592169657423,6.33333333333333,6.16666666666667,18.3333333333333,121.666666666667,113.166666666667,6,76,234,4.61,33.5,120,6.84,4.26,2011,8,1
"8","Blake Bortles",568.666666666667,334.333333333333,3747,6.58909730363423,23,17,46.6666666666667,287.333333333333,305.333333333333,3,77,232,4.93,32.5,115,7.08,4.21,2014,29,1
"10","Brandon Weeden",241.25,139.75,1615.5,6.69637305699482,7.75,7.5,16.5,113,167.25,4,75,221,4.89,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2012,12,1
"11","Brett Hundley",5,1,8.5,1.7,0,0.5,0,0,62.5,2,75,226,4.63,36,120,6.93,3.98,2015,5,5
"12","Brian Brohm",17.3333333333333,9,84,4.84615384615385,0,1.66666666666667,1.66666666666667,4.33333333333333,3.33333333333333,3,75,230,4.81,30,115,7.13,4.55,2008,0,2
"13","Brian Hoyer",149.875,89.25,1076,7.17931609674729,5.5,3.25,8.125,57.375,116.25,8,74,215,5.02,32,109,7.1,4.42,2009,1,8
"15","Brodie Croyle",11.8,6.2,53.6,4.54237288135593,0.4,0.2,1.4,9.4,17,5,74,205,4.88,30.5,104,7.34,4.25,2006,1,3
"16","Bruce Gradkowski",48,25.4285714285714,320,6.66666666666667,1.71428571428571,1.57142857142857,3.14285714285714,22.1428571428571,38.8571428571429,7,73,217,4.59,34,107,7.12,4.16,2006,3,6
"17","Bryce Petty",66.5,37.5,404.5,6.08270676691729,1.5,3.5,6.5,39.5,39,2,75,230,4.87,34,121,6.91,4.13,2015,4,4
"19","Cam Newton",482.5,282,3596.33333333333,7.45354058721934,22.5,12.8333333333333,36.3333333333333,280.5,377.333333333333,6,77,248,4.56,35,126,6.92,4.18,2011,51,1
"21","Carson Palmer",276.785714285714,171.214285714286,2045.64285714286,7.39070967741935,12.7142857142857,8.07142857142857,15,108,178.785714285714,14,77,232,4.65,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2003,40,1
"22","Carson Wentz",607,379,3782,6.23064250411862,16,14,33,213,367,1,77,237,4.77,30.5,118,6.86,4.15,2016,24,1
"24","Chad Henne",277.428571428571,164.571428571429,1837.71428571429,6.62409886714727,8.28571428571429,9,21.2857142857143,134,161.142857142857,7,75,230,4.92,25.5,106,7.17,4.4,2008,15,2
"25","Chad Pennington",6.90909090909091,4.72727272727273,39.2727272727273,5.68421052631579,0.0909090909090909,0.181818181818182,0.545454545454545,2.90909090909091,6.54545454545455,11,75,229,4.81,33.5,111,7.12,4.16,2000,12,1
"26","Charlie Frye",17.4,10.6,116.2,6.67816091954023,0.2,0.8,1,8,8.4,5,76,225,4.79,33,113,6.94,4.08,2005,7,3
"27","Charlie Whitehurst",36,19.9090909090909,223.909090909091,6.21969696969697,1,0.727272727272727,3.45454545454545,18.5454545454545,29.2727272727273,11,77,223,4.75,33,112,7,4.11,2006,3,3
"29","Chris Redman",12.75,7.58333333333333,82.4166666666667,6.4640522875817,0.333333333333333,0.333333333333333,0.666666666666667,2.83333333333333,17.1666666666667,12,75,222,5.37,26.5,98,7.8,4.78,2000,3,3
"30","Chris Simms",2.42857142857143,0.714285714285714,3.28571428571429,1.35294117647059,0,0.142857142857143,0.714285714285714,5.57142857142857,2.85714285714286,7,76,220,4.84,31,103,7.38,4.21,2003,8,3
"31","Christian Ponder",264.25,158,1664.5,6.29895931882687,9.5,9,23.75,125.25,214,4,74,229,4.63,34,116,6.85,4.09,2011,22,1
"32","Cody Kessler",195,128,1380,7.07692307692308,6,2,21,140,146,1,73,220,4.89,29.5,104,7.32,4,2016,3,3
"33","Colin Kaepernick",282,168.5,2045.16666666667,7.25236406619385,12,5,28.5,176.666666666667,233.333333333333,6,77,233,4.53,32.5,115,6.85,4.18,2011,24,2
"35","Connor Cook",21,14,150,7.14285714285714,1,1,2,7,6,1,76,217,4.79,33,113,7.21,4.28,2016,0,4
"36","Connor Shaw",28,14,177,6.32142857142857,0,1,4,27,10,1,72,206,4.66,34,116,7.07,4.33,2014,0,8
"37","Curtis Painter",57.4,29.6,336.2,5.85714285714286,1.2,2.6,4,25.2,33.2,5,75,225,4.87,29,102,7,4.48,2009,2,6
"38","Dak Prescott",459,311,3667,7.98910675381264,23,4,25,143,421,1,74,226,4.79,32.5,116,7.11,4.32,2016,30,4
"39","Dan Orlovsky",21.8181818181818,13.4545454545455,132.090909090909,6.05416666666667,0.636363636363636,0.454545454545455,1.27272727272727,7.63636363636364,12.4545454545455,11,77,225,4.93,29.5,107,7.33,4.39,2005,4,5
"40","David Carr",4.45454545454545,2.54545454545455,28.2727272727273,6.3469387755102,0.0909090909090909,0.0909090909090909,0.363636363636364,2,24.7272727272727,11,75,223,4.67,35,108,7.05,4.28,2002,25,1
"41","David Fales",1.66666666666667,0.666666666666667,7.33333333333333,4.4,0,0,0.333333333333333,1.66666666666667,3.33333333333333,3,74,212,4.99,28,103,7.55,4.5,2014,1,6
"42","David Garrard",98,61.1111111111111,703.444444444444,7.17800453514739,4.22222222222222,2.77777777777778,8.33333333333333,54.3333333333333,67.3333333333333,9,74,235,4.82,33.5,111,7.35,4.26,2002,3,4
"44","Derek Anderson",55.75,29.9166666666667,350.083333333333,6.27952167414051,1.41666666666667,2.08333333333333,3.33333333333333,22.3333333333333,44.6666666666667,12,78,242,5.03,29,103,7.67,4.62,2005,19,6
"45","Derek Carr",577.333333333333,351.666666666667,3731.33333333333,6.46304849884527,27,10.3333333333333,23.6666666666667,152.666666666667,340.666666666667,3,74,214,4.69,34.5,110,7.11139784946237,4.2,2014,30,2
"46","Drew Brees",319.25,218.875,2490.8125,7.8020751761942,18.5625,7.5625,13.6875,94.8125,222.625,16,72,213,4.83,32,105,7.09,4.21,2001,17,2
"47","Drew Stanton",48.3,25.7,304.6,6.3064182194617,1.3,1.9,2.5,15.1,63.8,10,75,226,4.75,30.5,108,6.77,4.41,2007,4,2
"49","Geno Smith",216.5,125.25,1490.5,6.88452655889146,7,9,19.25,132,147.5,4,74,218,4.58,33.5,124,7.11139784946237,4.3052688172043,2013,15,2
"50","Graham Harrell",1,0.5,5,5,0,0,0,0,16.25,4,74,223,4.95,29.5,98,7.45,4.56,2009,0,8
"51","Greg McElroy",15.5,9.5,107,6.90322580645161,0.5,0.5,5.5,35.5,12,2,74,220,4.84,33,107,7.11,4.45,2011,1,7
"52","Jacoby Brissett",55,34,400,7.27272727272727,0,0,6,46,58,1,76,231,4.94,31,113,7.17,4.53,2016,13,3
